mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um,cell_type,target_cell_type
29,18,252,2,1.0,18.0,pos+ngs_shank,0.0763754293975299,312.1672486811665,NG,NG
29,18,252,2,2.0,24.0,pos+ngs_shank,0.0967384360155788,157.49999999999986,NG,NG
29,18,252,2,3.0,5.0,pos+ngs_shank,0.0621878473586136,315.77445434805185,NG,NG
29,18,255,2,,,pos,0.0290842971296966,,NG,NG
29,18,255,2,0.0,7.0,pos+ngs_shank,0.0246836746643107,538.9683927900836,NG,NG
29,18,255,2,1.0,18.0,pos+ngs_shank,0.0364838991869708,318.2667865981168,NG,NG
29,18,255,2,2.0,24.0,pos+ngs_shank,0.0392968601915972,170.62500000000003,NG,NG
29,18,255,2,3.0,5.0,pos+ngs_shank,0.0277971720285929,325.24753635526827,NG,NG
29,18,257,2,,,pos,0.1225109839316888,,NG,NG
29,18,257,2,0.0,7.0,pos+ngs_shank,0.1218559924456695,538.9683927900836,NG,NG
29,18,257,2,1.0,18.0,pos+ngs_shank,0.1266507058301514,318.2667865981168,NG,NG
29,18,257,2,2.0,24.0,pos+ngs_shank,0.1569848080714172,170.62500000000003,NG,NG
29,18,257,2,3.0,5.0,pos+ngs_shank,0.1242182842143646,325.24753635526827,NG,NG
29,18,291,3,,,pos,0.0178987679126978,,NG,NG
29,18,291,3,0.0,7.0,pos+ngs_shank,0.0207343695203287,764.6457665486626,NG,NG
29,18,291,3,1.0,18.0,pos+ngs_shank,0.0281518504392885,537.2025524439922,NG,NG
29,18,291,3,2.0,25.0,pos+ngs_shank,0.0274969674436507,282.0397644433934,NG,NG
29,18,291,3,3.0,4.0,pos+ngs_shank,0.0209806594302251,89.99999999999959,NG,NG
29,18,293,3,,,pos,0.1032561174408703,,NG,NG
29,18,293,3,0.0,7.0,pos+ngs_shank,0.0993008012695249,762.264390934337,NG,NG
29,18,293,3,1.0,18.0,pos+ngs_shank,0.0992175733921837,533.4683544065675,NG,NG
